Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,Survived
1,22,7.25,M,1,0,3a,Southampton,0
2,38,71.2833,F,1,0,1a,Cherbourg,1
3,26,7925,F,0,0,3a,Southampton,1
4,35,53.1,F,1,0,1a,Southampton,1
5,35,8.05,M,0,0,3a,Southampton,0
6,28,8.4583,M,0,0,3a,Queenstown,0
7,54,51.8625,M,0,0,1a,Southampton,0
8,2,21075,M,3,1,3a,Southampton,0
9,27,11.1333,F,0,2,3a,Southampton,1
10,14,30.0708,F,1,0,2a,Cherbourg,1
11,4,16.7,F,1,1,3a,Southampton,1
12,58,26.55,F,0,0,1a,Southampton,1
13,20,8.05,M,0,0,3a,Southampton,0
14,39,31275,M,1,5,3a,Southampton,0
15,14,7.8542,F,0,0,3a,Southampton,0
16,55,16,F,0,0,2a,Southampton,1
17,2,29125,M,4,1,3a,Queenstown,0
18,28,13,M,0,0,2a,Southampton,1
19,31,18,F,1,0,3a,Southampton,0
20,28,7225,F,0,0,3a,Cherbourg,1
21,35,26,M,0,0,2a,Southampton,0
22,34,13,M,0,0,2a,Southampton,1
23,15,8.0292,F,0,0,3a,Queenstown,1
24,28,35.5,M,0,0,1a,Southampton,1
25,8,21075,F,3,1,3a,Southampton,0
26,38,31.3875,F,1,5,3a,Southampton,1
27,28,7225,M,0,0,3a,Cherbourg,0
28,19,263,M,3,2,1a,Southampton,0
29,28,7.8792,F,0,0,3a,Queenstown,1
30,28,7.8958,M,0,0,3a,Southampton,0
31,40,27.7208,M,0,0,1a,Cherbourg,0
32,28,146.5208,F,1,0,1a,Cherbourg,1
33,28,7.75,F,0,0,3a,Queenstown,1
34,66,10.5,M,0,0,2a,Southampton,0
35,28,82.1708,M,1,0,1a,Cherbourg,0
36,42,52,M,1,0,1a,Southampton,0
37,28,7.2292,M,0,0,3a,Cherbourg,1
38,21,8.05,M,0,0,3a,Southampton,0
39,18,18,F,2,0,3a,Southampton,0
40,14,11.2417,F,1,0,3a,Cherbourg,1
41,40,9475,F,1,0,3a,Southampton,0
42,27,21,F,1,0,2a,Southampton,0
43,28,7.8958,M,0,0,3a,Cherbourg,0
44,3,41.5792,F,1,2,2a,Cherbourg,1
45,19,7.8792,F,0,0,3a,Queenstown,1
46,28,8.05,M,0,0,3a,Southampton,0
47,28,15.5,M,1,0,3a,Queenstown,0
48,28,7.75,F,0,0,3a,Queenstown,1
49,28,21.6792,M,2,0,3a,Cherbourg,0
50,18,17.8,F,1,0,3a,Southampton,0
51,7,39.6875,M,4,1,3a,Southampton,0
52,21,7.8,M,0,0,3a,Southampton,0
53,49,76.7292,F,1,0,1a,Cherbourg,1
54,29,26,F,1,0,2a,Southampton,1
55,65,61.9792,M,0,1,1a,Cherbourg,0
56,28,35.5,M,0,0,1a,Southampton,1
57,21,10.5,F,0,0,2a,Southampton,1
58,28.5,7.2292,M,0,0,3a,Cherbourg,0
59,5,27.75,F,1,2,2a,Southampton,1
60,11,46.9,M,5,2,3a,Southampton,0
61,22,7.2292,M,0,0,3a,Cherbourg,0
62,38,80,F,0,0,1a,,1
63,45,83475,M,1,0,1a,Southampton,0
64,4,27.9,M,3,2,3a,Southampton,0
65,28,27.7208,M,0,0,1a,Cherbourg,0
66,28,15.2458,M,1,1,3a,Cherbourg,1
67,29,10.5,F,0,0,2a,Southampton,1
68,19,8.1583,M,0,0,3a,Southampton,0
69,17,7925,F,4,2,3a,Southampton,1
70,26,8.6625,M,2,0,3a,Southampton,0
71,32,10.5,M,0,0,2a,Southampton,0
72,16,46.9,F,5,2,3a,Southampton,0
73,21,73.5,M,0,0,2a,Southampton,0
74,26,14.4542,M,1,0,3a,Cherbourg,0
75,32,56.4958,M,0,0,3a,Southampton,1
76,25,7.65,M,0,0,3a,Southampton,0
77,28,7.8958,M,0,0,3a,Southampton,0
78,28,8.05,M,0,0,3a,Southampton,0
79,0.83,29,M,0,2,2a,Southampton,1
80,30,12475,F,0,0,3a,Southampton,1
81,22,9,M,0,0,3a,Southampton,0
82,29,9.5,M,0,0,3a,Southampton,1
83,28,7.7875,F,0,0,3a,Queenstown,1
84,28,47.1,M,0,0,1a,Southampton,0
85,17,10.5,F,0,0,2a,Southampton,1
86,33,15.85,F,3,0,3a,Southampton,1
87,16,34375,M,1,3,3a,Southampton,0
88,28,8.05,M,0,0,3a,Southampton,0
89,23,263,F,3,2,1a,Southampton,1
90,24,8.05,M,0,0,3a,Southampton,0
91,29,8.05,M,0,0,3a,Southampton,0
92,20,7.8542,M,0,0,3a,Southampton,0
93,46,61175,M,1,0,1a,Southampton,0
94,26,20575,M,1,2,3a,Southampton,0
95,59,7.25,M,0,0,3a,Southampton,0
96,28,8.05,M,0,0,3a,Southampton,0
97,71,34.6542,M,0,0,1a,Cherbourg,0
98,23,63.3583,M,0,1,1a,Cherbourg,1
99,34,23,F,0,1,2a,Southampton,1
100,34,26,M,1,0,2a,Southampton,0
101,28,7.8958,F,0,0,3a,Southampton,0
102,28,7.8958,M,0,0,3a,Southampton,0
103,21,77.2875,M,0,1,1a,Southampton,0
104,33,8.6542,M,0,0,3a,Southampton,0
105,37,7925,M,2,0,3a,Southampton,0
106,28,7.8958,M,0,0,3a,Southampton,0
107,21,7.65,F,0,0,3a,Southampton,1
108,28,7775,M,0,0,3a,Southampton,1
109,38,7.8958,M,0,0,3a,Southampton,0
110,28,24.15,F,1,0,3a,Queenstown,1
111,47,52,M,0,0,1a,Southampton,0
112,14.5,14.4542,F,1,0,3a,Cherbourg,0
113,22,8.05,M,0,0,3a,Southampton,0
114,20,9825,F,1,0,3a,Southampton,0
115,17,14.4583,F,0,0,3a,Cherbourg,0
116,21,7925,M,0,0,3a,Southampton,0
117,70.5,7.75,M,0,0,3a,Queenstown,0
118,29,21,M,1,0,2a,Southampton,0
119,24,247.5208,M,0,1,1a,Cherbourg,0
120,2,31275,F,4,2,3a,Southampton,0
121,21,73.5,M,2,0,2a,Southampton,0
122,28,8.05,M,0,0,3a,Southampton,0
123,32.5,30.0708,M,1,0,2a,Cherbourg,0
124,32.5,13,F,0,0,2a,Southampton,1
125,54,77.2875,M,0,1,1a,Southampton,0
126,12,11.2417,M,1,0,3a,Cherbourg,1
127,28,7.75,M,0,0,3a,Queenstown,0
128,24,7.1417,M,0,0,3a,Southampton,1
129,28,22.3583,F,1,1,3a,Cherbourg,1
130,45,6975,M,0,0,3a,Southampton,0
131,33,7.8958,M,0,0,3a,Cherbourg,0
132,20,7.05,M,0,0,3a,Southampton,0
133,47,14.5,F,1,0,3a,Southampton,0
134,29,26,F,1,0,2a,Southampton,1
135,25,13,M,0,0,2a,Southampton,0
136,23,15.0458,M,0,0,2a,Cherbourg,0
137,19,26.2833,F,0,2,1a,Southampton,1
138,37,53.1,M,1,0,1a,Southampton,0
139,16,9.2167,M,0,0,3a,Southampton,0
140,24,79.2,M,0,0,1a,Cherbourg,0
141,28,15.2458,F,0,2,3a,Cherbourg,0
142,22,7.75,F,0,0,3a,Southampton,1
143,24,15.85,F,1,0,3a,Southampton,1
144,19,6.75,M,0,0,3a,Queenstown,0
145,18,11.5,M,0,0,2a,Southampton,0
146,19,36.75,M,1,1,2a,Southampton,0
147,27,7.7958,M,0,0,3a,Southampton,1
148,9,34375,F,2,2,3a,Southampton,0
149,36.5,26,M,0,2,2a,Southampton,0
150,42,13,M,0,0,2a,Southampton,0
151,51,12525,M,0,0,2a,Southampton,0
152,22,66.6,F,1,0,1a,Southampton,1
153,55.5,8.05,M,0,0,3a,Southampton,0
154,40.5,14.5,M,0,2,3a,Southampton,0
155,28,7.3125,M,0,0,3a,Southampton,0
156,51,61.3792,M,0,1,1a,Cherbourg,0
157,16,7.7333,F,0,0,3a,Queenstown,1
158,30,8.05,M,0,0,3a,Southampton,0
159,28,8.6625,M,0,0,3a,Southampton,0
160,28,69.55,M,8,2,3a,Southampton,0
161,44,16.1,M,0,1,3a,Southampton,0
162,40,15.75,F,0,0,2a,Southampton,1
163,26,7775,M,0,0,3a,Southampton,0
164,17,8.6625,M,0,0,3a,Southampton,0
165,1,39.6875,M,4,1,3a,Southampton,0
166,9,20525,M,0,2,3a,Southampton,1
167,28,55,F,0,1,1a,Southampton,1
168,45,27.9,F,1,4,3a,Southampton,0
169,28,25925,M,0,0,1a,Southampton,0
170,28,56.4958,M,0,0,3a,Southampton,0
171,61,33.5,M,0,0,1a,Southampton,0
172,4,29125,M,4,1,3a,Queenstown,0
173,1,11.1333,F,1,1,3a,Southampton,1
174,21,7925,M,0,0,3a,Southampton,0
175,56,30.6958,M,0,0,1a,Cherbourg,0
176,18,7.8542,M,1,1,3a,Southampton,0
177,28,25.4667,M,3,1,3a,Southampton,0
178,50,28.7125,F,0,0,1a,Cherbourg,0
179,30,13,M,0,0,2a,Southampton,0
180,36,0,M,0,0,3a,Southampton,0
181,28,69.55,F,8,2,3a,Southampton,0
182,28,15.05,M,0,0,2a,Cherbourg,0
183,9,31.3875,M,4,2,3a,Southampton,0
184,1,39,M,2,1,2a,Southampton,1
185,4,22025,F,0,2,3a,Southampton,1
186,28,50,M,0,0,1a,Southampton,0
187,28,15.5,F,1,0,3a,Queenstown,1
188,45,26.55,M,0,0,1a,Southampton,1
189,40,15.5,M,1,1,3a,Queenstown,0
190,36,7.8958,M,0,0,3a,Southampton,0
191,32,13,F,0,0,2a,Southampton,1
192,19,13,M,0,0,2a,Southampton,0
193,19,7.8542,F,1,0,3a,Southampton,1
194,3,26,M,1,1,2a,Southampton,1
195,44,27.7208,F,0,0,1a,Cherbourg,1
196,58,146.5208,F,0,0,1a,Cherbourg,1
197,28,7.75,M,0,0,3a,Queenstown,0
198,42,8.4042,M,0,1,3a,Southampton,0
199,28,7.75,F,0,0,3a,Queenstown,1
200,24,13,F,0,0,2a,Southampton,0
201,28,9.5,M,0,0,3a,Southampton,0
202,28,69.55,M,8,2,3a,Southampton,0
203,34,6.4958,M,0,0,3a,Southampton,0
204,45.5,7225,M,0,0,3a,Cherbourg,0
205,18,8.05,M,0,0,3a,Southampton,1
206,2,10.4625,F,0,1,3a,Southampton,0
207,32,15.85,M,1,0,3a,Southampton,0
208,26,18.7875,M,0,0,3a,Cherbourg,1
209,16,7.75,F,0,0,3a,Queenstown,1
210,40,31,M,0,0,1a,Cherbourg,1
211,24,7.05,M,0,0,3a,Southampton,0
212,35,21,F,0,0,2a,Southampton,1
213,22,7.25,M,0,0,3a,Southampton,0
214,30,13,M,0,0,2a,Southampton,0
215,28,7.75,M,1,0,3a,Queenstown,0
216,31,113275,F,1,0,1a,Cherbourg,1
217,27,7925,F,0,0,3a,Southampton,1
218,42,27,M,1,0,2a,Southampton,0
219,32,76.2917,F,0,0,1a,Cherbourg,1
220,30,10.5,M,0,0,2a,Southampton,0
221,16,8.05,M,0,0,3a,Southampton,1
222,27,13,M,0,0,2a,Southampton,0
223,51,8.05,M,0,0,3a,Southampton,0
224,28,7.8958,M,0,0,3a,Southampton,0
225,38,90,M,1,0,1a,Southampton,1
226,22,9.35,M,0,0,3a,Southampton,0
227,19,10.5,M,0,0,2a,Southampton,1
228,20.5,7.25,M,0,0,3a,Southampton,0
229,18,13,M,0,0,2a,Southampton,0
230,28,25.4667,F,3,1,3a,Southampton,0
231,35,83475,F,1,0,1a,Southampton,1
232,29,7775,M,0,0,3a,Southampton,0
233,59,13.5,M,0,0,2a,Southampton,0
234,5,31.3875,F,4,2,3a,Southampton,1
235,24,10.5,M,0,0,2a,Southampton,0
236,28,7.55,F,0,0,3a,Southampton,0
237,44,26,M,1,0,2a,Southampton,0
238,8,26.25,F,0,2,2a,Southampton,1
239,19,10.5,M,0,0,2a,Southampton,0
240,33,12275,M,0,0,2a,Southampton,0
241,28,14.4542,F,1,0,3a,Cherbourg,0
242,28,15.5,F,1,0,3a,Queenstown,1
243,29,10.5,M,0,0,2a,Southampton,0
244,22,7125,M,0,0,3a,Southampton,0
245,30,7225,M,0,0,3a,Cherbourg,0
246,44,90,M,2,0,1a,Queenstown,0
247,25,7775,F,0,0,3a,Southampton,0
248,24,14.5,F,0,2,2a,Southampton,1
249,37,52.5542,M,1,1,1a,Southampton,1
250,54,26,M,1,0,2a,Southampton,0
251,28,7.25,M,0,0,3a,Southampton,0
252,29,10.4625,F,1,1,3a,Southampton,0
253,62,26.55,M,0,0,1a,Southampton,0
254,30,16.1,M,1,0,3a,Southampton,0
255,41,20.2125,F,0,2,3a,Southampton,0
256,29,15.2458,F,0,2,3a,Cherbourg,1
257,28,79.2,F,0,0,1a,Cherbourg,1
258,30,86.5,F,0,0,1a,Southampton,1
259,35,512.3292,F,0,0,1a,Cherbourg,1
260,50,26,F,0,1,2a,Southampton,1
261,28,7.75,M,0,0,3a,Queenstown,0
262,3,31.3875,M,4,2,3a,Southampton,1
263,52,79.65,M,1,1,1a,Southampton,0
264,40,0,M,0,0,1a,Southampton,0
265,28,7.75,F,0,0,3a,Queenstown,0
266,36,10.5,M,0,0,2a,Southampton,0
267,16,39.6875,M,4,1,3a,Southampton,0
268,25,7775,M,1,0,3a,Southampton,1
269,58,153.4625,F,0,1,1a,Southampton,1
270,35,135.6333,F,0,0,1a,Southampton,1
271,28,31,M,0,0,1a,Southampton,0
272,25,0,M,0,0,3a,Southampton,1
273,41,19.5,F,0,1,2a,Southampton,1
274,37,29.7,M,0,1,1a,Cherbourg,0
275,28,7.75,F,0,0,3a,Queenstown,1
276,63,77.9583,F,1,0,1a,Southampton,1
277,45,7.75,F,0,0,3a,Southampton,0
278,28,0,M,0,0,2a,Southampton,0
279,7,29125,M,4,1,3a,Queenstown,0
280,35,20.25,F,1,1,3a,Southampton,1
281,65,7.75,M,0,0,3a,Queenstown,0
282,28,7.8542,M,0,0,3a,Southampton,0
283,16,9.5,M,0,0,3a,Southampton,0
284,19,8.05,M,0,0,3a,Southampton,1
285,28,26,M,0,0,1a,Southampton,0
286,33,8.6625,M,0,0,3a,Cherbourg,0
287,30,9.5,M,0,0,3a,Southampton,1
288,22,7.8958,M,0,0,3a,Southampton,0
289,42,13,M,0,0,2a,Southampton,1
290,22,7.75,F,0,0,3a,Queenstown,1
291,26,78.85,F,0,0,1a,Southampton,1
292,19,91.0792,F,1,0,1a,Cherbourg,1
293,36,12875,M,0,0,2a,Cherbourg,0
294,24,8.85,F,0,0,3a,Southampton,0
295,24,7.8958,M,0,0,3a,Southampton,0
296,28,27.7208,M,0,0,1a,Cherbourg,0
297,23.5,7.2292,M,0,0,3a,Cherbourg,0
298,2,151.55,F,1,2,1a,Southampton,0
299,28,30.5,M,0,0,1a,Southampton,1
300,50,247.5208,F,0,1,1a,Cherbourg,1
301,28,7.75,F,0,0,3a,Queenstown,1
302,28,23.25,M,2,0,3a,Queenstown,1
303,19,0,M,0,0,3a,Southampton,0
304,28,12.35,F,0,0,2a,Queenstown,1
305,28,8.05,M,0,0,3a,Southampton,0
306,0.92,151.55,M,1,2,1a,Southampton,1
307,28,110.8833,F,0,0,1a,Cherbourg,1
308,17,108.9,F,1,0,1a,Cherbourg,1
309,30,24,M,1,0,2a,Cherbourg,0
310,30,56.9292,F,0,0,1a,Cherbourg,1
311,24,83.1583,F,0,0,1a,Cherbourg,1
312,18,262375,F,2,2,1a,Cherbourg,1
313,26,26,F,1,1,2a,Southampton,0
314,28,7.8958,M,0,0,3a,Southampton,0
315,43,26.25,M,1,1,2a,Southampton,0
316,26,7.8542,F,0,0,3a,Southampton,1
317,24,26,F,1,0,2a,Southampton,1
318,54,14,M,0,0,2a,Southampton,0
319,31,164.8667,F,0,2,1a,Southampton,1
320,40,134.5,F,1,1,1a,Cherbourg,1
321,22,7.25,M,0,0,3a,Southampton,0
322,27,7.8958,M,0,0,3a,Southampton,0
323,30,12.35,F,0,0,2a,Queenstown,1
324,22,29,F,1,1,2a,Southampton,1
325,28,69.55,M,8,2,3a,Southampton,0
326,36,135.6333,F,0,0,1a,Cherbourg,1
327,61,6.2375,M,0,0,3a,Southampton,0
328,36,13,F,0,0,2a,Southampton,1
329,31,20525,F,1,1,3a,Southampton,1
330,16,57.9792,F,0,1,1a,Cherbourg,1
331,28,23.25,F,2,0,3a,Queenstown,1
332,45.5,28.5,M,0,0,1a,Southampton,0
333,38,153.4625,M,0,1,1a,Southampton,0
334,16,18,M,2,0,3a,Southampton,0
335,28,133.65,F,1,0,1a,Southampton,1
336,28,7.8958,M,0,0,3a,Southampton,0
337,29,66.6,M,1,0,1a,Southampton,0
338,41,134.5,F,0,0,1a,Cherbourg,1
339,45,8.05,M,0,0,3a,Southampton,1
340,45,35.5,M,0,0,1a,Southampton,0
341,2,26,M,1,1,2a,Southampton,1
342,24,263,F,3,2,1a,Southampton,1
343,28,13,M,0,0,2a,Southampton,0
344,25,13,M,0,0,2a,Southampton,0
345,36,13,M,0,0,2a,Southampton,0
346,24,13,F,0,0,2a,Southampton,1
347,40,13,F,0,0,2a,Southampton,1
348,28,16.1,F,1,0,3a,Southampton,1
349,3,15.9,M,1,1,3a,Southampton,1
350,42,8.6625,M,0,0,3a,Southampton,0
351,23,9225,M,0,0,3a,Southampton,0
352,28,35,M,0,0,1a,Southampton,0
353,15,7.2292,M,1,1,3a,Cherbourg,0
354,25,17.8,M,1,0,3a,Southampton,0
355,28,7225,M,0,0,3a,Cherbourg,0
356,28,9.5,M,0,0,3a,Southampton,0
357,22,55,F,0,1,1a,Southampton,1
358,38,13,F,0,0,2a,Southampton,0
359,28,7.8792,F,0,0,3a,Queenstown,1
360,28,7.8792,F,0,0,3a,Queenstown,1
361,40,27.9,M,1,4,3a,Southampton,0
362,29,27.7208,M,1,0,2a,Cherbourg,0
363,45,14.4542,F,0,1,3a,Cherbourg,0
364,35,7.05,M,0,0,3a,Southampton,0
365,28,15.5,M,1,0,3a,Queenstown,0
366,30,7.25,M,0,0,3a,Southampton,0
367,60,75.25,F,1,0,1a,Cherbourg,1
368,28,7.2292,F,0,0,3a,Cherbourg,1
369,28,7.75,F,0,0,3a,Queenstown,1
370,24,69.3,F,0,0,1a,Cherbourg,1
371,25,55.4417,M,1,0,1a,Cherbourg,1
372,18,6.4958,M,1,0,3a,Southampton,0
373,19,8.05,M,0,0,3a,Southampton,0
374,22,135.6333,M,0,0,1a,Cherbourg,0
375,3,21075,F,3,1,3a,Southampton,0
376,28,82.1708,F,1,0,1a,Cherbourg,1
377,22,7.25,F,0,0,3a,Southampton,1
378,27,211.5,M,0,2,1a,Cherbourg,0
379,20,4.0125,M,0,0,3a,Cherbourg,0
380,19,7775,M,0,0,3a,Southampton,0
381,42,227525,F,0,0,1a,Cherbourg,1
382,1,15.7417,F,0,2,3a,Cherbourg,1
383,32,7925,M,0,0,3a,Southampton,0
384,35,52,F,1,0,1a,Southampton,1
385,28,7.8958,M,0,0,3a,Southampton,0
386,18,73.5,M,0,0,2a,Southampton,0
387,1,46.9,M,5,2,3a,Southampton,0
388,36,13,F,0,0,2a,Southampton,1
389,28,7.7292,M,0,0,3a,Queenstown,0
390,17,12,F,0,0,2a,Cherbourg,1
391,36,120,M,1,2,1a,Southampton,1
392,21,7.7958,M,0,0,3a,Southampton,1
393,28,7925,M,2,0,3a,Southampton,0
394,23,113275,F,1,0,1a,Cherbourg,1
395,24,16.7,F,0,2,3a,Southampton,1
396,22,7.7958,M,0,0,3a,Southampton,0
397,31,7.8542,F,0,0,3a,Southampton,0
398,46,26,M,0,0,2a,Southampton,0
399,23,10.5,M,0,0,2a,Southampton,0
400,28,12.65,F,0,0,2a,Southampton,1
401,39,7925,M,0,0,3a,Southampton,1
402,26,8.05,M,0,0,3a,Southampton,0
403,21,9825,F,1,0,3a,Southampton,0
404,28,15.85,M,1,0,3a,Southampton,0
405,20,8.6625,F,0,0,3a,Southampton,0
406,34,21,M,1,0,2a,Southampton,0
407,51,7.75,M,0,0,3a,Southampton,0
408,3,18.75,M,1,1,2a,Southampton,1
409,21,7775,M,0,0,3a,Southampton,0
410,28,25.4667,F,3,1,3a,Southampton,0
411,28,7.8958,M,0,0,3a,Southampton,0
412,28,6.8583,M,0,0,3a,Queenstown,0
413,33,90,F,1,0,1a,Queenstown,1
414,28,0,M,0,0,2a,Southampton,0
415,44,7925,M,0,0,3a,Southampton,1
416,28,8.05,F,0,0,3a,Southampton,0
417,34,32.5,F,1,1,2a,Southampton,1
418,18,13,F,0,2,2a,Southampton,1
419,30,13,M,0,0,2a,Southampton,0
420,10,24.15,F,0,2,3a,Southampton,0
421,28,7.8958,M,0,0,3a,Cherbourg,0
422,21,7.7333,M,0,0,3a,Queenstown,0
423,29,7875,M,0,0,3a,Southampton,0
424,28,14.4,F,1,1,3a,Southampton,0
425,18,20.2125,M,1,1,3a,Southampton,0
426,28,7.25,M,0,0,3a,Southampton,0
427,28,26,F,1,0,2a,Southampton,1
428,19,26,F,0,0,2a,Southampton,1
429,28,7.75,M,0,0,3a,Queenstown,0
430,32,8.05,M,0,0,3a,Southampton,1
431,28,26.55,M,0,0,1a,Southampton,1
432,28,16.1,F,1,0,3a,Southampton,1
433,42,26,F,1,0,2a,Southampton,1
434,17,7125,M,0,0,3a,Southampton,0
435,50,55.9,M,1,0,1a,Southampton,0
436,14,120,F,1,2,1a,Southampton,1
437,21,34375,F,2,2,3a,Southampton,0
438,24,18.75,F,2,3,2a,Southampton,1
439,64,263,M,1,4,1a,Southampton,0
440,31,10.5,M,0,0,2a,Southampton,0
